Tick,Number of people in lower class,Number of people in medium class,Number of people in higher class,Avg wealth of lower class,Avg wealth of medium class,Avg wealth of higher class,Min wealth,Max wealth,Gini Index,
82,196,36,18,333.23,1332.02,2364.63,6,2897,0.527684613574622
83,194,36,20,339.44,1327.29,2373.28,15,2893,0.5255157584585844
84,190,37,23,343.53,1351.13,2384.10,39,2911,0.5251498246095359
85,184,39,27,340.02,1359.15,2442.41,33,2909,0.5306959803286034
86,192,40,18,384.93,1657.05,2688.83,30,3386,0.5295476955979954
87,191,41,18,385.09,1647.13,2687.24,23,3402,0.5279732987075139
88,186,44,20,387.78,1662.86,2673.58,19,3403,0.524712904562019
89,183,45,22,385.66,1660.04,2671.42,12,3402,0.5254542894248911
90,180,45,25,393.71,1663.73,2668.97,9,3402,0.5204928810017273
91,176,46,28,405.28,1645.70,2812.67,3,3402,0.5202796874907729
92,197,44,9,509.19,2235.67,3957.63,17,4772,0.5315783097048636
93,205,40,5,566.89,2490.53,4853.80,13,5516,0.5348396424312344
94,202,42,6,561.43,2512.73,4830.06,12,5512,0.5391372709305295
95,200,40,10,562.80,2521.57,5029.10,21,5507,0.553707775751164
96,204,36,10,589.95,2636.75,5236.90,17,6025,0.5596615487316419
97,200,37,13,593.41,2669.52,5145.26,12,6024,0.5644426667291889
98,197,39,14,610.37,2663.97,5086.45,9,6022,0.5599845064127741
99,193,42,15,615.23,2710.25,5118.56,4,6021,0.5579010586771118
100,187,44,19,621.93,2724.60,5034.47,3,6020,0.5558312789486426
